Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
0,-0.494232207390214,-0.41859654651958,-0.293462799946857,-0.0868941243525789,-0.305762635000601,-0.49747637431929,0.239570215690607,0.221488058606272,0.34748996247841,0.20922074398044
0.015,-0.494515768884142,-0.418799621181682,-0.293562131746565,-0.0868941243525789,-0.305762635000601,-0.497539707975286,0.239524799750287,0.221465900520902,0.34748996247841,0.20922074398044
0.03,-0.494736020515399,-0.419031448962185,-0.293803753514106,-0.0871344101748234,-0.305920352600474,-0.497583224484596,0.239478068786118,0.221416127845725,0.347439556765326,0.209187669751059
0.045,-0.494928668070486,-0.419228207276893,-0.294005997661334,-0.0873435152731247,-0.306140491038296,-0.497621798063631,0.239438795077137,0.221375834806021,0.347397813760584,0.209142838013927
0.06,-0.495098357937362,-0.419401639700161,-0.294183143829218,-0.087524437477314,-0.306325273920753,-0.497656633035123,0.239403346500901,0.221339778556505,0.347361132371289,0.209105490846617
0.075,-0.495245687580553,-0.419552666554874,-0.294337780851101,-0.0876826105437301,-0.306486935275911,-0.497687680643719,0.239371644782548,0.221307453819906,0.347328210378738,0.20907198900642
0.09,-0.495370617025904,-0.419681268626758,-0.294469965747706,-0.0878182876477389,-0.306626016646733,-0.497714590233816,0.239344027882481,0.221279162726302,0.347299278145908,0.209042447388959
0.105,-0.495473535968082,-0.419787735263175,-0.294579914929649,-0.0879316468076696,-0.306742707661492,-0.497737122835681,0.239320764654021,0.22125519453609,0.347274632876697,0.209017154521574
0.12,-0.495555629964993,-0.419873116701628,-0.294668553073494,-0.0880235007332468,-0.30683772723092,-0.497755290346379,0.239301887648896,0.221235622724844,0.347254384059348,0.208996249318769
0.135,-0.49561890675813,-0.419939297203824,-0.294737640402051,-0.0880954875966745,-0.306912596244755,-0.497769377070669,0.239287155028114,0.221220248045894,0.347238374286549,0.208979614475006
0.15,-0.495666005072483,-0.419988833427569,-0.294789644256035,-0.088149979882957,-0.306969588696728,-0.49777988580766,0.239276094197535,0.221208630466152,0.347226197900165,0.208966879899609
0.165,-0.495699884262033,-0.420024656830278,-0.294827457890262,-0.0881898231685859,-0.307011494057849,-0.497787444160861,0.23926809127371,0.221200173088003,0.347217278028559,0.208957491482767
0.18,-0.495723495770761,-0.420049741918949,-0.294854068826929,-0.088218007997193,-0.307041296141815,-0.497792705891095,0.239262490907885,0.221194222043193,0.347210965381356,0.20895080757655
0.195,-0.495739517317329,-0.420066826296432,-0.294872266888537,-0.0882373683283798,-0.307061864656069,-0.497796273153318,0.239258678586534,0.221190152698519,0.347206627608625,0.208946190649919
0.21,-0.49575019086417,-0.420078230605539,-0.294884446800185,-0.0882503678031439,-0.30707572646163,-0.497798650727225,0.239256131806467,0.221187426108308,0.347203710791052,0.208943073460411
0.225,-0.495757265986483,-0.420085785718517,-0.294892518845089,-0.0882589937151261,-0.307084942945109,-0.497800230458113,0.239254440139532,0.221185613767385,0.347201769004601,0.208940993481184
0.24,-0.495762025316188,-0.42009084682039,-0.294897910771968,-0.0882647460053822,-0.307091085469422,-0.497801297402003,0.239253301997265,0.221184397563463,0.347200467725051,0.208939599998978
