Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
0,-0.43672047821753,-1,-1,-1,1,0.635827887096669,1,-0.224020509610937,1
0.015,-0.436721226626275,-1.00000421356206,-0.999997067225077,-0.999998728950871,1.00000823176801,0.635821931368126,0.999999984780201,-0.224020600125654,1.00000006401551
0.03,-0.436721050679759,-1.00000204321045,-0.999998825960253,-0.999998246669586,1.00001067794311,0.635820285354099,0.999999927259416,-0.224020907023865,1.00000027405927
0.045,-0.436720869394782,-1.00000046861894,-1.00000003856019,-0.999998020117482,1.00001166667347,0.635819657533348,0.999999856309511,-0.224021235473414,1.0000004877219
0.06,-0.436720647509159,-0.999998947637253,-1.00000115462746,-0.999997814676105,1.00001246637722,0.635819176118852,0.999999781719772,-0.224021541419846,1.00000067665275
0.075,-0.436720398229097,-0.999997528360573,-1.00000214613709,-0.999997634749812,1.00001310043176,0.635818814709956,0.999999709401868,-0.224021808310688,1.00000083284176
0.09,-0.43672013885759,-0.999996260393961,-1.00000298853407,-0.999997488053315,1.00001357358351,0.635818559845856,0.99999964395179,-0.224022028294257,1.00000095461572
0.105,-0.436719886327589,-0.999995175239479,-1.00000367324887,-0.999997377894711,1.00001390167406,0.635818393210251,0.999999588512469,-0.224022199652038,1.00000104414802
0.12,-0.436719654670675,-0.999994284856971,-1.00000420601891,-0.999997303215758,1.00001410857323,0.635818294376041,0.999999544494283,-0.224022325765421,1.00000110618784
0.135,-0.436719453348622,-0.999993583416963,-1.0000046033273,-0.999997259469747,1.00001422202752,0.63581824354104,0.999999511730265,-0.224022413348876,1.00000114663827
0.15,-0.436719286615683,-0.999993051205642,-1.00000488810153,-0.999997239894534,1.00001426983669,0.635818223495101,0.999999488928888,-0.224022470534443,1.0000011713526
0.165,-0.436719153878273,-0.999992659710064,-1.00000508551726,-0.999997236886621,1.00001427686296,0.635818220707485,0.999999474217405,-0.224022505315395,1.00000118536528
0.18,-0.436719050807065,-0.999992376845506,-1.00000521956316,-0.999997243212405,1.0000142631457,0.63581822559936,0.999999465610373,-0.224022524577419,1.00000119256856
0.195,-0.436718970824465,-0.999992171416405,-1.00000531074805,-0.999997252866371,1.000014243169,0.635818232185456,0.999999461324542,-0.224022533691767,1.00000119571777
0.21,-0.436718906560432,-0.999992016186449,-1.00000537503658,-0.999997261486206,1.00001422613324,0.635818237328664,0.999999459939509,-0.224022536505159,1.00000119661409
0.225,-0.436718850937086,-0.999991889297108,-1.00000542384708,-0.999997266337385,1.00001421694674,0.635818239853088,0.999999460446782,-0.224022535536481,1.00000119634272
0.24,-0.436718797680442,-0.999991774134546,-1.00000546477965,-0.999997265963241,1.00001421759209,0.635818239716889,0.999999462240402,-0.224022532231152,1.00000119549392
0.255,-0.436718741225827,-0.999991658031068,-1.00000550268116,-0.999997259646625,1.00001422853363,0.635818237375349,0.999999465097354,-0.224022527176203,1.00000119433652
0.27,-0.436718676139664,-0.999991530352852,-1.0000055406891,-0.999997246841187,1.0000142499006,0.635818233387248,0.999999469192702,-0.22402252021093,1.00000119293862
0.285,-0.436718596290058,-0.999991380556047,-1.00000558100007,-0.999997226708152,1.00001428228166,0.635818228250902,0.999999475198927,-0.22402251037699,1.00000119124435
0.3,-0.436718494042704,-0.999991196703294,-1.00000562524517,-0.999997197848617,1.00001432707574,0.635818222411016,0.999999484522491,-0.224022495659484,1.0000011891276
0.315,-0.436718359734867,-0.999990964759247,-1.00000567448557,-0.999997158265306,1.00001438643909,0.635818216357466,0.999999499713912,-0.224022472507326,1.00000118645747
